observation_date	GDPC1GBFP_19911211	GDPC1GBFP_19920130	GDPC1GBFP_19920325	GDPC1GBFP_19920514	GDPC1GBFP_19920624	GDPC1GBFP_19920813	GDPC1GBFP_19920930	GDPC1GBFP_19921112	GDPC1GBFP_19921216	GDPC1GBFP_19930127	GDPC1GBFP_19930317	GDPC1GBFP_19930514	GDPC1GBFP_19930630	GDPC1GBFP_19930811	GDPC1GBFP_19930915	GDPC1GBFP_19931110	GDPC1GBFP_19931215	GDPC1GBFP_19940131	GDPC1GBFP_19940317	GDPC1GBFP_19940513	GDPC1GBFP_19940629	GDPC1GBFP_19940812	GDPC1GBFP_19940921	GDPC1GBFP_19941109	GDPC1GBFP_19941214	GDPC1GBFP_19950125	GDPC1GBFP_19950322	GDPC1GBFP_19950517	GDPC1GBFP_19950628	GDPC1GBFP_19950816	GDPC1GBFP_19950920	GDPC1GBFP_19951108	GDPC1GBFP_19951214	GDPC1GBFP_19960126	GDPC1GBFP_19960321	GDPC1GBFP_19960516	GDPC1GBFP_19960626	GDPC1GBFP_19960815	GDPC1GBFP_19960918	GDPC1GBFP_19961106	GDPC1GBFP_19961212	GDPC1GBFP_19970129	GDPC1GBFP_19970319	GDPC1GBFP_19970515	GDPC1GBFP_19970625	GDPC1GBFP_19970814	GDPC1GBFP_19970924	GDPC1GBFP_19971106	GDPC1GBFP_19971211	GDPC1GBFP_19980128	GDPC1GBFP_19980325	GDPC1GBFP_19980514	GDPC1GBFP_19980624	GDPC1GBFP_19980813	GDPC1GBFP_19980923	GDPC1GBFP_19981112	GDPC1GBFP_19981216	GDPC1GBFP_19990128	GDPC1GBFP_19990324	GDPC1GBFP_19990513	GDPC1GBFP_19990623	GDPC1GBFP_19990818	GDPC1GBFP_19990929	GDPC1GBFP_19991110	GDPC1GBFP_19991215	GDPC1GBFP_20000127	GDPC1GBFP_20000315	GDPC1GBFP_20000511	GDPC1GBFP_20000621	GDPC1GBFP_20000816	GDPC1GBFP_20000927	GDPC1GBFP_20001108	GDPC1GBFP_20001213	GDPC1GBFP_20010125	GDPC1GBFP_20010314	GDPC1GBFP_20010509	GDPC1GBFP_20010620	GDPC1GBFP_20010816	GDPC1GBFP_20010927	GDPC1GBFP_20011031	GDPC1GBFP_20011205	GDPC1GBFP_20020123	GDPC1GBFP_20020313	GDPC1GBFP_20020501	GDPC1GBFP_20020620	GDPC1GBFP_20020807	GDPC1GBFP_20020918	GDPC1GBFP_20021030	GDPC1GBFP_20021204	GDPC1GBFP_20030122	GDPC1GBFP_20030313	GDPC1GBFP_20030430	GDPC1GBFP_20030618	GDPC1GBFP_20030806	GDPC1GBFP_20030910	GDPC1GBFP_20031022	GDPC1GBFP_20031203	GDPC1GBFP_20040121	GDPC1GBFP_20040311	GDPC1GBFP_20040428	GDPC1GBFP_20040623	GDPC1GBFP_20040805	GDPC1GBFP_20040915	GDPC1GBFP_20041103	GDPC1GBFP_20041208	GDPC1GBFP_20050126	GDPC1GBFP_20050316	GDPC1GBFP_20050428	GDPC1GBFP_20050622	GDPC1GBFP_20050804	GDPC1GBFP_20050914	GDPC1GBFP_20051026	GDPC1GBFP_20051207	GDPC1GBFP_20060125	GDPC1GBFP_20060322	GDPC1GBFP_20060503	GDPC1GBFP_20060621	GDPC1GBFP_20060803	GDPC1GBFP_20060913	GDPC1GBFP_20061018	GDPC1GBFP_20061206	GDPC1GBFP_20070124	GDPC1GBFP_20070314	GDPC1GBFP_20070502	GDPC1GBFP_20070620	GDPC1GBFP_20070802	GDPC1GBFP_20070912	GDPC1GBFP_20071024	GDPC1GBFP_20071205	GDPCTPIGBFP_19960321	GDPCTPIGBFP_19960516	GDPCTPIGBFP_19960626	GDPCTPIGBFP_19960815	GDPCTPIGBFP_19960918	GDPCTPIGBFP_19961106	GDPCTPIGBFP_19961212	GDPCTPIGBFP_19970129	GDPCTPIGBFP_19970319	GDPCTPIGBFP_19970515	GDPCTPIGBFP_19970625	GDPCTPIGBFP_19970814	GDPCTPIGBFP_19970924	GDPCTPIGBFP_19971106	GDPCTPIGBFP_19971211	GDPCTPIGBFP_19980128	GDPCTPIGBFP_19980325	GDPCTPIGBFP_19980514	GDPCTPIGBFP_19980624	GDPCTPIGBFP_19980813	GDPCTPIGBFP_19980923	GDPCTPIGBFP_19981112	GDPCTPIGBFP_19981216	GDPCTPIGBFP_19990128	GDPCTPIGBFP_19990324	GDPCTPIGBFP_19990513	GDPCTPIGBFP_19990623	GDPCTPIGBFP_19990818	GDPCTPIGBFP_19990929	GDPCTPIGBFP_19991110	GDPCTPIGBFP_19991215	GDPCTPIGBFP_20000127	GDPCTPIGBFP_20000315	GDPCTPIGBFP_20000511	GDPCTPIGBFP_20000621	GDPCTPIGBFP_20000816	GDPCTPIGBFP_20000927	GDPCTPIGBFP_20001108	GDPCTPIGBFP_20001213	GDPCTPIGBFP_20010125	GDPCTPIGBFP_20010314	GDPCTPIGBFP_20010509	GDPCTPIGBFP_20010620	GDPCTPIGBFP_20010816	GDPCTPIGBFP_20010927	GDPCTPIGBFP_20011031	GDPCTPIGBFP_20011205	GDPCTPIGBFP_20020123	GDPCTPIGBFP_20020313	GDPCTPIGBFP_20020501	GDPCTPIGBFP_20020620	GDPCTPIGBFP_20020807	GDPCTPIGBFP_20020918	GDPCTPIGBFP_20021030	GDPCTPIGBFP_20021204	GDPCTPIGBFP_20030122	GDPCTPIGBFP_20030313	GDPCTPIGBFP_20030430	GDPCTPIGBFP_20030618	GDPCTPIGBFP_20030806	GDPCTPIGBFP_20030910	GDPCTPIGBFP_20031022	GDPCTPIGBFP_20031203	GDPCTPIGBFP_20040121	GDPCTPIGBFP_20040311	GDPCTPIGBFP_20040428	GDPCTPIGBFP_20040623	GDPCTPIGBFP_20040805	GDPCTPIGBFP_20040915	GDPCTPIGBFP_20041103	GDPCTPIGBFP_20041208	GDPCTPIGBFP_20050126	GDPCTPIGBFP_20050316	GDPCTPIGBFP_20050428	GDPCTPIGBFP_20050622	GDPCTPIGBFP_20050804	GDPCTPIGBFP_20050914	GDPCTPIGBFP_20051026	GDPCTPIGBFP_20051207	GDPCTPIGBFP_20060125	GDPCTPIGBFP_20060322	GDPCTPIGBFP_20060503	GDPCTPIGBFP_20060621	GDPCTPIGBFP_20060803	GDPCTPIGBFP_20060913	GDPCTPIGBFP_20061018	GDPCTPIGBFP_20061206	GDPCTPIGBFP_20070124	GDPCTPIGBFP_20070314	GDPCTPIGBFP_20070502	GDPCTPIGBFP_20070620	GDPCTPIGBFP_20070802	GDPCTPIGBFP_20070912	GDPCTPIGBFP_20071024	GDPCTPIGBFP_20071205	GDPDEFGBFP_19911211	GDPDEFGBFP_19920130	GDPDEFGBFP_19920325	GDPDEFGBFP_19920514	GDPDEFGBFP_19920624	GDPDEFGBFP_19920813	GDPDEFGBFP_19920930	GDPDEFGBFP_19921112	GDPDEFGBFP_19921216	GDPDEFGBFP_19930127	GDPDEFGBFP_19930317	GDPDEFGBFP_19930514	GDPDEFGBFP_19930630	GDPDEFGBFP_19930811	GDPDEFGBFP_19930915	GDPDEFGBFP_19931110	GDPDEFGBFP_19931215	GDPDEFGBFP_19940131	GDPDEFGBFP_19940317	GDPDEFGBFP_19940513	GDPDEFGBFP_19940629	GDPDEFGBFP_19940812	GDPDEFGBFP_19940921	GDPDEFGBFP_19941109	GDPDEFGBFP_19941214	GDPDEFGBFP_19950125	GDPDEFGBFP_19950322	GDPDEFGBFP_19950517	GDPDEFGBFP_19950628	GDPDEFGBFP_19950816	GDPDEFGBFP_19950920	GDPDEFGBFP_19951108	GDPDEFGBFP_19951214	GDPDEFGBFP_19960126	GDPDEFGBFP_19960321	GDPDEFGBFP_19960516	GDPDEFGBFP_19960626	GDPDEFGBFP_19960815	GDPDEFGBFP_19960918	GDPDEFGBFP_19961106	GDPDEFGBFP_19961212	GDPDEFGBFP_19970129	GDPDEFGBFP_19970319	GDPDEFGBFP_19970515	GDPDEFGBFP_19970625	GDPDEFGBFP_19970814	GDPDEFGBFP_19970924	GDPDEFGBFP_19971106	GDPGBFP_19911211	GDPGBFP_19920130	GDPGBFP_19920325	GDPGBFP_19920514	GDPGBFP_19920624	GDPGBFP_19920813	GDPGBFP_19920930	GDPGBFP_19921112	GDPGBFP_19921216	GDPGBFP_19930127	GDPGBFP_19930317	GDPGBFP_19930514	GDPGBFP_19930630	GDPGBFP_19930811	GDPGBFP_19930915	GDPGBFP_19931110	GDPGBFP_19931215	GDPGBFP_19940131	GDPGBFP_19940317	GDPGBFP_19940513	GDPGBFP_19940629	GDPGBFP_19940812	GDPGBFP_19940921	GDPGBFP_19941109	GDPGBFP_19941214	GDPGBFP_19950125	GDPGBFP_19950322	GDPGBFP_19950517	GDPGBFP_19950628	GDPGBFP_19950816	GDPGBFP_19950920	GDPGBFP_19951108	GDPGBFP_19951214	GDPGBFP_19960126	GDPGBFP_19960321	GDPGBFP_19960516	GDPGBFP_19960626	GDPGBFP_19960815	GDPGBFP_19960918	GDPGBFP_19961106	GDPGBFP_19961212	GDPGBFP_19970129	GDPGBFP_19970319	GDPGBFP_19970515	GDPGBFP_19970625	GDPGBFP_19970814	GDPGBFP_19970924	GDPGBFP_19971106	GDPGBFP_19971211	GDPGBFP_19980128	GDPGBFP_19980325	GDPGBFP_19980514	GDPGBFP_19980624	GDPGBFP_19980813	GDPGBFP_19980923	GDPGBFP_19981112	GDPGBFP_19981216	GDPGBFP_19990128	GDPGBFP_19990324	GDPGBFP_19990513	GDPGBFP_19990623	GDPGBFP_19990818	GDPGBFP_19990929	GDPGBFP_19991110	GDPGBFP_19991215	GDPGBFP_20000127	GDPGBFP_20000315	GDPGBFP_20000511	GDPGBFP_20000621	GDPGBFP_20000816	GDPGBFP_20000927	GDPGBFP_20001108	GDPGBFP_20001213	GDPGBFP_20010125	GDPGBFP_20010314	GDPGBFP_20010509	GDPGBFP_20010620	GDPGBFP_20010816	GDPGBFP_20010927	GDPGBFP_20011031	GDPGBFP_20011205	GDPGBFP_20020123	GDPGBFP_20020313	GDPGBFP_20020501	GDPGBFP_20020620	GDPGBFP_20020807	GDPGBFP_20020918	GDPGBFP_20021030	GDPGBFP_20021204	GDPGBFP_20030122	GDPGBFP_20030313	GDPGBFP_20030430	GDPGBFP_20030618	GDPGBFP_20030806	GDPGBFP_20030910	GDPGBFP_20031022	GDPGBFP_20031203	GDPGBFP_20040121	GDPGBFP_20040311	GDPGBFP_20040428	GDPGBFP_20040623	GDPGBFP_20040805	GDPGBFP_20040915	GDPGBFP_20041103	GDPGBFP_20041208	GDPGBFP_20050126	GDPGBFP_20050316	GDPGBFP_20050428	GDPGBFP_20050622	GDPGBFP_20050804	GDPGBFP_20050914	GDPGBFP_20051026	GDPGBFP_20051207	GDPGBFP_20060125	GDPGBFP_20060322	GDPGBFP_20060503	GDPGBFP_20060621	GDPGBFP_20060803	GDPGBFP_20060913	GDPGBFP_20061018	GDPGBFP_20061206	GDPGBFP_20070124	GDPGBFP_20070314	GDPGBFP_20070502	GDPGBFP_20070620	GDPGBFP_20070802	GDPGBFP_20070912	GDPGBFP_20071024	GDPGBFP_20071205	GNPCGBFP_19780111	GNPCGBFP_19780222	GNPCGBFP_19780315	GNPCGBFP_19780412	GNPCGBFP_19780510	GNPCGBFP_19780614	GNPCGBFP_19780711	GNPCGBFP_19780809	GNPCGBFP_19780913	GNPCGBFP_19781011	GNPCGBFP_19781115	GNPCGBFP_19781213	GNPCGBFP_19790131	GNPCGBFP_19790314	GNPCGBFP_19790411	GNPCGBFP_19790516	GNPCGBFP_19790703	GNPCGBFP_19790808	GNPCGBFP_19790912	GNPCGBFP_19791012	GNPCGBFP_19791114	GNPCGBFP_19800103	GNPCGBFP_19800130	GNPCGBFP_19800314	GNPCGBFP_19800416	GNPCGBFP_19800514	GNPCGBFP_19800702	GNPCGBFP_19800806	GNPCGBFP_19800910	GNPCGBFP_19801015	GNPCGBFP_19801112	GNPCGBFP_19801212	GNPCGBFP_19810128	GNPCGBFP_19810325	GNPCGBFP_19810513	GNPCGBFP_19810701	GNPCGBFP_19810812	GNPCGBFP_19810930	GNPCGBFP_19811110	GNPCGBFP_19811216	GNPCGBFP_19820127	GNPCGBFP_19820324	GNPCGBFP_19820512	GNPCGBFP_19820623	GNPCGBFP_19820818	GNPCGBFP_19820929	GNPCGBFP_19821110	GNPCGBFP_19821215	GNPCGBFP_19830202	GNPCGBFP_19830323	GNPCGBFP_19830518	GNPCGBFP_19830706	GNPCGBFP_19830817	GNPCGBFP_19830928	GNPCGBFP_19831109	GNPCGBFP_19831214	GNPCGBFP_19840125	GNPCGBFP_19840321	GNPCGBFP_19840516	GNPCGBFP_19840711	GNPCGBFP_19840815	GNPCGBFP_19840926	GNPCGBFP_19841031	GNPCGBFP_19841212	GNPCGBFP_19850206	GNPCGBFP_19850320	GNPCGBFP_19850515	GNPCGBFP_19850703	GNPCGBFP_19850814	GNPCGBFP_19850925	GNPCGBFP_19851030	GNPCGBFP_19851211	GNPCGBFP_19860205	GNPCGBFP_19860326	GNPCGBFP_19860514	GNPCGBFP_19860702	GNPCGBFP_19860813	GNPCGBFP_19860917	GNPCGBFP_19861029	GNPCGBFP_19861210	GNPCGBFP_19870204	GNPCGBFP_19870325	GNPCGBFP_19870513	GNPCGBFP_19870701	GNPCGBFP_19870812	GNPCGBFP_19870916	GNPCGBFP_19871028	GNPCGBFP_19871209	GNPCGBFP_19880203	GNPCGBFP_19880323	GNPCGBFP_19880511	GNPCGBFP_19880622	GNPCGBFP_19880810	GNPCGBFP_19880914	GNPCGBFP_19881026	GNPCGBFP_19881207	GNPCGBFP_19890201	GNPCGBFP_19890322
1994-01-01						3.2	3.5	3.1	2.7	2.9	2.9	2.7	2.5	2.8	3.0	2.7	3.6	4.0	3.2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																													2.6	2.2	2.0	2.5	2.3	2.2	2.4	2.6	2.5	2.3	2.6	2.7	3.0	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.						5.9	5.8	5.2	5.3	5.2	5.2	5.1	5.1	5.4	5.4	5.3	6.5	7.2	5.7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1994-04-01						3.0	3.3	3.2	2.7	3.0	2.9	2.7	2.6	2.3	2.3	2.3	2.0	3.0	2.5	4.2	3.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																													2.0	1.7	1.5	2.1	2.0	2.2	2.4	2.5	2.6	2.3	2.5	2.6	2.3	2.5	1.9	2.4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.						5.1	5.0	4.7	4.9	5.0	5.1	5.1	5.1	4.9	4.7	4.8	4.6	5.3	5.0	6.2	5.9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1994-07-01						3.0	3.1	3.2	3.0	3.0	2.9	2.7	2.6	2.4	2.4	2.4	2.5	2.5	2.7	2.7	2.9	2.8	3.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																													1.9	1.5	1.4	1.9	1.8	2.3	2.5	2.3	2.3	2.1	2.1	2.4	2.2	2.3	2.3	2.2	1.5	1.7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.						4.9	4.7	4.6	4.9	4.9	5.2	5.2	4.9	4.8	4.6	4.6	5.0	4.7	5.0	5.1	5.2	4.4	4.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1994-10-01						3.0	3.0	3.3	3.0	3.1	2.9	2.7	2.7	2.4	2.4	2.4	2.5	2.4	2.4	2.1	2.4	2.3	2.8	4.1	5.0	5.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																													1.9	1.5	1.3	1.8	1.7	2.1	2.2	2.2	2.2	2.0	2.0	2.1	2.1	2.2	2.2	2.3	2.5	2.7	2.0	1.7	1.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.						4.9	4.5	4.6	4.9	4.8	5.1	4.9	4.9	4.7	4.5	4.5	4.7	4.5	4.7	4.4	4.8	4.9	5.6	6.1	6.9	6.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1995-01-01																2.5	2.5	2.4	2.3	2.2	2.0	1.9	1.9	2.5	3.0	3.2	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																																							2.3	2.4	2.6	2.8	2.5	2.8	2.6	3.0	3.1	3.1	3.1	3.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																4.9	5.0	5.1	5.1	4.8	4.8	4.6	4.9	5.7	6.3	6.4	5.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1995-04-01																2.5	2.5	2.4	2.3	2.2	2.2	2.1	1.7	1.4	2.0	2.0	1.7	0.9	-0.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																																							2.0	2.1	2.1	2.2	2.0	2.3	2.1	2.3	2.8	2.6	2.4	2.4	2.7	2.2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																4.5	4.7	4.6	4.6	4.3	4.5	4.3	4.0	4.2	4.7	4.5	4.1	3.5	1.7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1995-07-01																2.5	2.5	2.5	2.4	2.3	2.3	2.2	1.8	1.0	1.3	1.7	2.1	1.9	1.1	2.2	2.2	4.1	5.4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																																							1.9	2.0	1.9	2.0	1.9	2.2	2.1	2.4	2.6	2.5	2.3	2.2	2.6	2.8	2.5	2.7	0.5	0.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																4.4	4.5	4.5	4.4	4.3	4.5	4.3	4.3	3.6	3.9	4.1	4.4	4.5	3.9	4.6	5.1	4.6	5.9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1995-10-01																2.5	2.5	2.5	2.4	2.4	2.4	2.3	2.0	1.5	1.2	1.7	2.3	2.8	3.4	2.9	2.5	2.6	1.9	1.9	0.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																																							1.9	2.0	1.9	1.9	1.9	2.1	2.0	2.3	2.4	2.4	2.3	2.2	2.4	2.3	2.4	2.6	2.1	1.9	2.6	1.8	.	.	.	.	.	.	.	.	.	.	.	.	.																4.4	4.5	4.4	4.3	4.3	4.5	4.4	4.4	3.8	3.6	4.0	4.6	5.3	5.8	5.4	5.1	4.8	3.9	4.6	2.1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1996-01-01																							2.2	1.8	1.4	2.0	2.3	2.1	2.1	2.3	2.3	2.7	2.5	0.8	1.5	2.5	2.2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																									3.6	2.5	2.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																															2.5	2.6	2.7	2.6	2.6	2.7	2.4	2.4	2.8	2.5	2.6	3.4	3.0	2.3	2.3	.	.	.	.	.	.	.	.	.	.	.																							4.8	4.5	4.1	4.7	4.9	4.8	4.6	4.7	5.1	5.3	5.1	4.3	4.5	4.8	4.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1996-04-01																							2.3	2.2	1.8	2.5	2.4	2.4	2.1	2.3	2.2	2.7	2.4	2.0	3.4	3.5	3.8	3.7	4.7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																									2.4	2.5	2.1	2.2	2.2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																															2.3	2.3	2.5	2.4	2.4	2.4	2.2	2.0	2.1	2.2	2.2	2.4	2.4	2.1	1.6	1.8	1.7	.	.	.	.	.	.	.	.	.																							4.7	4.6	4.3	5.0	4.8	4.8	4.4	4.3	4.3	5.0	4.7	4.5	5.9	5.6	5.4	5.6	6.6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1996-07-01																							2.3	2.3	2.0	2.6	2.3	2.5	2.3	2.3	2.2	2.1	2.0	2.0	1.8	2.0	2.3	2.6	2.4	2.5	2.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																									2.8	3.2	2.6	2.3	2.1	1.9	1.9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																															2.2	2.3	2.5	2.5	2.4	2.4	2.2	2.0	1.8	2.1	2.0	2.6	2.5	2.7	2.2	1.8	1.7	1.5	1.3	.	.	.	.	.	.	.																							4.6	4.7	4.6	5.2	4.8	4.9	4.5	4.4	4.1	4.2	4.0	4.6	4.4	4.7	4.5	4.5	4.2	4.1	3.7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1996-10-01																							2.3	2.4	2.1	2.6	2.2	2.4	2.4	2.3	2.1	2.7	2.9	2.5	2.3	1.9	1.9	2.0	2.2	1.8	2.3	3.5	4.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																									2.7	2.9	2.7	3.0	2.6	2.5	2.5	2.5	1.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																															2.2	2.3	2.5	2.5	2.4	2.3	2.1	2.0	1.9	1.9	1.9	2.4	2.5	2.5	2.4	2.8	2.3	2.1	2.2	2.4	1.3	.	.	.	.	.																							4.6	4.8	4.7	5.2	4.7	4.8	4.6	4.3	4.1	4.6	4.8	4.9	4.9	4.5	4.4	4.8	4.5	4.0	4.5	5.9	5.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
1997-01-01																															2.0	2.5	2.5	1.9	2.1	2.3	2.1	2.0	2.1	2.4	2.1	1.7	3.4	6.0	5.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																									3.1	3.1	2.8	3.0	3.0	2.9	3.2	3.2	3.1	2.8	2.8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																							2.1	2.1	2.1	2.7	2.8	2.7	2.3	2.7	2.8	2.9	3.1	2.8	2.9	2.2	2.2	.	.	.																															4.1	4.6	4.7	4.6	4.9	5.0	4.4	4.8	5.0	5.4	5.3	4.6	6.4	8.1	8.1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.																																																																																																																																										
